,dt,temp,feels_like,pressure,humidity,dew_point,uvi,clouds,visibility,wind_speed,wind_deg,wind_gust,weather,pop,rain,lat,lon,timezone,timezone_offset
0,1755615600,29.97,31.33,1013,52,19.05,2.29,20,10000,5.51,230,5.47,"[{""id"": 500, ""main"": ""Rain"", ""description"": ""light rain"", ""icon"": ""10d""}]",0.2,"{""1h"": 0.16}",41.9028,12.4964,Europe/Rome,7200
1,1755619200,29.7,31.07,1013,53,19.1,0.93,21,10000,4.85,230,4.73,"[{""id"": 801, ""main"": ""Clouds"", ""description"": ""few clouds"", ""icon"": ""02d""}]",0.01,,41.9028,12.4964,Europe/Rome,7200
2,1755622800,29.22,30.21,1013,52,18.36,0.24,24,10000,3.55,254,3.03,"[{""id"": 801, ""main"": ""Clouds"", ""description"": ""few clouds"", ""icon"": ""02d""}]",0.0,,41.9028,12.4964,Europe/Rome,7200
3,1755626400,27.82,28.69,1013,55,17.96,0.0,34,10000,2.04,357,3.49,"[{""id"": 802, ""main"": ""Clouds"", ""description"": ""scattered clouds"", ""icon"": ""03d""}]",0.0,,41.9028,12.4964,Europe/Rome,7200
4,1755630000,27.26,28.34,1013,59,18.55,0.0,84,10000,1.55,346,2.29,"[{""id"": 803, ""main"": ""Clouds"", ""description"": ""broken clouds"", ""icon"": ""04n""}]",0.0,,41.9028,12.4964,Europe/Rome,7200
5,1755633600,25.73,26.03,1013,64,17.61,0.0,100,10000,1.44,346,2.21,"[{""id"": 804, ""main"": ""Clouds"", ""description"": ""overcast clouds"", ""icon"": ""04n""}]",0.0,,41.9028,12.4964,Europe/Rome,7200
6,1755637200,24.49,24.72,1013,66,17.85,0.0,100,10000,1.14,346,1.91,"[{""id"": 804, ""main"": ""Clouds"", ""description"": ""overcast clouds"", ""icon"": ""04n""}]",0.0,,41.9028,12.4964,Europe/Rome,7200
7,1755640800,23.93,24.18,1013,69,18.09,0.0,92,10000,1.24,345,2.1,"[{""id"": 804, ""main"": ""Clouds"", ""description"": ""overcast clouds"", ""icon"": ""04n""}]",0.0,,41.9028,12.4964,Europe/Rome,7200
8,1755644400,23.44,23.69,1013,71,18.16,0.0,79,10000,1.24,26,2.08,"[{""id"": 803, ""main"": ""Clouds"", ""description"": ""broken clouds"", ""icon"": ""04n""}]",0.0,,41.9028,12.4964,Europe/Rome,7200
9,1755648000,22.79,22.98,1013,71,18.1,0.0,83,10000,0.93,45,1.88,"[{""id"": 803, ""main"": ""Clouds"", ""description"": ""broken clouds"", ""icon"": ""04n""}]",0.0,,41.9028,12.4964,Europe/Rome,7200
10,1755651600,22.27,22.43,1012,72,17.85,0.0,100,10000,0.71,43,2.01,"[{""id"": 804, ""main"": ""Clouds"", ""description"": ""overcast clouds"", ""icon"": ""04n""}]",0.0,,41.9028,12.4964,Europe/Rome,7200
11,1755655200,21.74,21.82,1012,71,17.58,0.0,100,10000,0.44,51,2.2,"[{""id"": 804, ""main"": ""Clouds"", ""description"": ""overcast clouds"", ""icon"": ""04n""}]",0.0,,41.9028,12.4964,Europe/Rome,7200
12,1755658800,21.51,21.52,1012,69,17.46,0.0,100,10000,0.97,68,2.45,"[{""id"": 804, ""main"": ""Clouds"", ""description"": ""overcast clouds"", ""icon"": ""04n""}]",0.0,,41.9028,12.4964,Europe/Rome,7200
13,1755662400,21.7,21.68,1012,67,17.32,0.0,100,10000,1.19,81,2.77,"[{""id"": 804, ""main"": ""Clouds"", ""description"": ""overcast clouds"", ""icon"": ""04n""}]",0.0,,41.9028,12.4964,Europe/Rome,7200
14,1755666000,21.56,21.52,1012,67,17.34,0.1,100,10000,0.84,79,2.65,"[{""id"": 804, ""main"": ""Clouds"", ""description"": ""overcast clouds"", ""icon"": ""04d""}]",0.0,,41.9028,12.4964,Europe/Rome,7200
15,1755669600,22.89,22.88,1012,63,17.48,0.5,100,10000,1.28,117,2.88,"[{""id"": 804, ""main"": ""Clouds"", ""description"": ""overcast clouds"", ""icon"": ""04d""}]",0.0,,41.9028,12.4964,Europe/Rome,7200
16,1755673200,26.63,26.63,1012,59,17.88,1.34,100,10000,2.08,131,3.5,"[{""id"": 500, ""main"": ""Rain"", ""description"": ""light rain"", ""icon"": ""10d""}]",0.71,"{""1h"": 0.2}",41.9028,12.4964,Europe/Rome,7200
17,1755676800,28.66,29.12,1012,49,16.92,2.77,100,10000,2.43,144,3.56,"[{""id"": 804, ""main"": ""Clouds"", ""description"": ""overcast clouds"", ""icon"": ""04d""}]",0.46,,41.9028,12.4964,Europe/Rome,7200
18,1755680400,30.71,30.41,1011,39,15.64,4.43,74,10000,3.19,151,4.27,"[{""id"": 803, ""main"": ""Clouds"", ""description"": ""broken clouds"", ""icon"": ""04d""}]",0.32,,41.9028,12.4964,Europe/Rome,7200
19,1755684000,32.39,31.82,1011,34,14.85,5.74,57,10000,3.63,173,4.38,"[{""id"": 803, ""main"": ""Clouds"", ""description"": ""broken clouds"", ""icon"": ""04d""}]",0.2,,41.9028,12.4964,Europe/Rome,7200
20,1755687600,33.2,32.56,1010,32,14.63,6.47,50,10000,4.9,193,5.01,"[{""id"": 802, ""main"": ""Clouds"", ""description"": ""scattered clouds"", ""icon"": ""03d""}]",0.1,,41.9028,12.4964,Europe/Rome,7200
21,1755691200,33.22,32.59,1010,32,14.6,6.2,44,10000,6.26,200,5.68,"[{""id"": 802, ""main"": ""Clouds"", ""description"": ""scattered clouds"", ""icon"": ""03d""}]",0.02,,41.9028,12.4964,Europe/Rome,7200
22,1755694800,32.97,32.26,1010,32,14.57,4.88,38,10000,6.48,194,6.41,"[{""id"": 802, ""main"": ""Clouds"", ""description"": ""scattered clouds"", ""icon"": ""03d""}]",0.0,,41.9028,12.4964,Europe/Rome,7200
23,1755698400,31.99,31.46,1009,35,14.68,3.32,69,10000,6.64,194,6.68,"[{""id"": 803, ""main"": ""Clouds"", ""description"": ""broken clouds"", ""icon"": ""04d""}]",0.0,,41.9028,12.4964,Europe/Rome,7200
24,1755702000,31.1,30.63,1009,37,15.0,1.67,79,10000,6.27,180,7.49,"[{""id"": 803, ""main"": ""Clouds"", ""description"": ""broken clouds"", ""icon"": ""04d""}]",0.0,,41.9028,12.4964,Europe/Rome,7200
